,algoName,symbol,quantity,lastTradedTime,lastTradedSide
0,DRB_N,NIFTY09SEP2524900PE,-75,2025-09-08 09:34:01.557112,SELL
1,DRB_N,NIFTY09SEP2524800CE,-75,2025-09-08 14:48:01.126755,SELL
2,DRB_N,NIFTY09SEP2524750CE,-75,2025-09-08 15:12:00.867544,SELL
3,DRB_N,NIFTY09SEP2524050PE,75,2025-09-08 15:20:03.722351,BUY
4,GRB_N,NIFTY09SEP2524800CE,-75,2025-09-08 09:18:00.892089,SELL
5,GRB_N,NIFTY09SEP2524850PE,-75,2025-09-08 09:32:01.012704,SELL
6,GRB_N,NIFTY09SEP2524900PE,-75,2025-09-08 09:38:01.512094,SELL
7,GRB_N,NIFTY09SEP2524450PE,150,2025-09-08 15:20:03.919626,BUY
8,MagicReversal50,NIFTY09SEP2524850PE,-75,2025-09-08 09:16:01.046984,SELL
9,MagicReversal50,NIFTY09SEP2524050PE,75,2025-09-08 15:21:00.481847,BUY
10,MagicTrend,NIFTY09SEP2524800CE,-75,2025-09-05 15:20:01.343221,SELL
11,MagicTrend,NIFTY09SEP2524750CE,-75,2025-09-08 15:20:03.757665,SELL
