,algoName,symbol,quantity,lastTradedTime,lastTradedSide
0,DRB_N,NIFTY09SEP2524900PE,-150,2025-09-08 09:34:01.667350,SELL
1,DRB_N,NIFTY09SEP2524800CE,-150,2025-09-08 14:48:01.466308,SELL
2,DRB_N,NIFTY09SEP2524750CE,-150,2025-09-08 15:12:01.261370,SELL
3,DRB_N,NIFTY09SEP2524050PE,150,2025-09-08 15:20:04.031269,BUY
4,GRB_N,NIFTY09SEP2524800CE,-150,2025-09-08 09:18:01.210527,SELL
5,GRB_N,NIFTY09SEP2524850PE,-150,2025-09-08 09:32:01.334516,SELL
6,GRB_N,NIFTY09SEP2524900PE,-150,2025-09-08 09:38:02.053776,SELL
7,GRB_N,NIFTY09SEP2524450PE,300,2025-09-08 15:20:04.082935,BUY
8,MagicRS,NIFTY09SEP2524900PE,-150,2025-09-08 09:16:03.101160,SELL
9,MagicRS,NIFTY09SEP2523950PE,150,2025-09-08 15:21:00.947572,BUY
10,MagicReversal50,NIFTY09SEP2524850PE,-150,2025-09-08 09:16:01.482765,SELL
11,MagicReversal50,NIFTY09SEP2524050PE,150,2025-09-08 15:21:00.929844,BUY
12,MagicTrend,NIFTY09SEP2524800CE,-300,2025-09-05 15:20:01.717386,SELL
13,MagicTrend,NIFTY09SEP2524750CE,-300,2025-09-08 15:20:04.303172,SELL
14,z,NIFTY09SEP2525500CE,1050,2025-09-08 15:23:08.590956,BUY
